id,game_id,year,team_id,goals,points_id
1,1,2008,10,1,2
2,5,2008,10,2,2
3,18,2008,10,0,2
4,31,2008,10,4,2
5,104,2008,10,1,2
6,124,2008,10,2,2
7,196,2008,10,5,1
8,265,2008,10,6,1
9,286,2008,10,2,4
10,303,2008,10,1,2
11,347,2008,10,0,2
12,358,2008,10,4,1
13,366,2008,10,1,2
14,413,2008,10,5,1
15,424,2008,10,2,2
16,435,2008,10,4,1
17,496,2008,10,2,1
18,526,2008,10,5,1
19,547,2008,10,2,1
20,561,2008,10,3,2
21,575,2008,10,1,2
22,617,2008,10,2,2
23,693,2008,10,2,1
24,702,2008,10,4,1
25,718,2008,10,2,2
26,746,2008,10,1,2
27,770,2008,10,1,2
28,783,2008,10,0,2
29,790,2008,10,0,2
30,809,2008,10,3,1
31,823,2008,10,4,1
32,828,2008,10,2,1
33,845,2008,10,3,1
34,853,2008,10,2,1
35,1010,2008,10,0,2
36,1016,2008,10,0,2
37,1054,2008,10,2,2
38,1106,2008,10,2,1
39,1122,2008,10,1,2
40,1132,2008,10,2,1
41,1219,2008,10,4,1
42,1237,2009,10,1,2
43,1271,2009,10,3,2
44,1316,2009,10,3,4
45,1333,2009,10,4,1
46,1340,2009,10,6,1
47,1351,2009,10,3,1
48,1402,2009,10,1,1
49,1513,2009,10,2,3
50,1518,2009,10,2,4
51,1577,2009,10,4,1
52,1582,2009,10,1,2
53,1591,2009,10,2,2
54,1651,2009,10,0,2
55,1701,2009,10,3,4
56,1723,2009,10,3,2
57,1725,2009,10,3,2
58,1751,2009,10,3,3
59,1760,2009,10,4,1
60,1833,2009,10,3,2
61,1891,2009,10,1,2
62,1895,2009,10,3,1
63,1917,2009,10,2,2
64,1927,2009,10,1,2
65,1940,2009,10,7,1
66,1963,2009,10,4,1
67,1991,2009,10,0,2
68,1997,2009,10,2,2
69,2009,2009,10,2,1
70,2102,2009,10,2,2
71,2105,2009,10,5,1
72,2125,2009,10,3,1
73,2138,2009,10,0,2
74,2155,2009,10,4,1
75,2174,2009,10,2,3
76,2289,2009,10,3,4
77,2321,2009,10,2,4
78,2329,2009,10,7,1
79,2369,2009,10,5,1
80,2387,2009,10,6,4
81,2403,2009,10,5,1
82,2455,2009,10,4,2
83,2490,2010,10,3,3
84,2495,2010,10,6,1
85,2516,2010,10,3,4
86,2522,2010,10,0,2
87,2647,2010,10,2,2
88,2711,2010,10,1,2
89,2725,2010,10,2,2
90,2729,2010,10,4,2
91,2748,2010,10,2,2
92,2861,2010,10,1,2
93,2870,2010,10,4,2
94,2921,2010,10,2,3
95,2927,2010,10,3,1
96,2961,2010,10,3,1
97,2970,2010,10,1,2
98,3003,2010,10,4,1
99,3013,2010,10,0,2
100,3025,2010,10,2,2
101,3062,2010,10,3,2
102,3076,2010,10,1,2
103,3083,2010,10,2,2
104,3126,2010,10,3,1
105,3135,2010,10,3,1
106,3157,2010,10,0,2
107,3214,2010,10,1,2
108,3228,2010,10,4,4
109,3238,2010,10,1,2
110,3252,2010,10,1,2
111,3265,2010,10,2,4
112,3285,2010,10,3,1
113,3303,2010,10,4,2
114,3367,2010,10,1,2
115,3377,2010,10,7,1
116,3420,2010,10,0,2
117,3541,2010,10,1,2
118,3554,2010,10,1,2
119,3569,2010,10,3,1
120,3604,2010,10,5,1
121,3628,2010,10,2,4
122,3661,2010,10,2,2
123,3670,2010,10,3,2
124,3699,2011,10,0,2
125,3705,2011,10,1,2
126,3721,2011,10,1,2
127,3769,2011,10,1,2
128,3779,2011,10,3,1
129,3792,2011,10,4,2
130,3808,2011,10,5,1
131,3844,2011,10,2,2
132,3899,2011,10,3,1
133,3934,2011,10,2,3
134,3944,2011,10,1,2
135,3954,2011,10,1,3
136,4031,2011,10,6,1
137,4093,2011,10,3,4
138,4100,2011,10,4,2
139,4149,2011,10,2,1
140,4156,2011,10,2,2
141,4165,2011,10,2,2
142,4178,2011,10,3,1
143,4186,2011,10,2,2
144,4213,2011,10,1,2
145,4228,2011,10,3,1
146,4359,2011,10,2,2
147,4377,2011,10,2,4
148,4396,2011,10,2,2
149,4405,2011,10,4,4
150,4424,2011,10,3,1
151,4476,2011,10,3,1
152,4504,2011,10,4,1
153,4513,2011,10,5,1
154,4530,2011,10,4,1
155,4563,2011,10,1,2
156,4571,2011,10,3,2
157,4707,2011,10,6,1
158,4764,2011,10,2,1
159,4789,2011,10,4,1
160,4795,2011,10,4,2
161,4809,2011,10,2,1
162,4837,2011,10,4,1
163,4862,2011,10,2,2
164,4910,2011,10,3,1
165,4924,2012,10,1,2
166,4985,2012,10,3,1
167,5036,2012,10,2,2
168,5049,2012,10,3,1
169,5065,2012,10,0,2
170,5073,2012,10,1,2
171,5084,2012,10,4,3
172,5094,2012,10,1,2
173,5104,2012,10,0,2
174,5177,2012,10,1,2
175,5229,2012,10,2,2
176,5336,2012,10,2,2
177,5347,2012,10,2,2
178,5382,2012,10,1,2
179,5397,2012,10,3,2
180,5403,2012,10,3,2
181,5422,2012,10,2,2
182,5446,2012,10,3,1
