id,year,wins,points,goal_diff,strength,playoffs
1,2008,14,37,10,663,1
2,2008,14,36,6,678,0
3,2008,11,31,-22,687,0
4,2008,18,46,-16,699,1
5,2008,22,53,38,668,1
6,2008,15,36,-13,640,0
7,2008,17,39,5,656,1
8,2008,19,43,-30,667,0
9,2008,19,45,-8,669,1
10,2008,18,38,7,695,1
11,2008,19,42,-4,642,1
12,2008,19,44,17,649,1
13,2008,17,39,-7,622,0
14,2008,13,36,-21,694,0
15,2008,13,29,-3,694,0
17,2008,12,32,-21,704,0
19,2008,16,41,-18,714,0
20,2008,10,27,-23,658,0
21,2008,11,38,-9,671,0
22,2008,17,41,-4,628,0
23,2008,16,44,15,657,1
24,2008,17,39,-24,664,1
25,2008,13,37,2,683,1
26,2008,16,40,-3,692,0
27,2008,20,44,-8,706,1
28,2008,23,56,4,657,1
29,2008,19,47,-4,680,1
30,2008,12,31,-13,669,0
31,2008,16,38,-10,658,1
32,2008,24,51,26,637,1
1,2009,9,28,-12,650,0
2,2009,20,46,15,631,1
3,2009,15,37,-5,638,1
4,2009,20,48,39,628,1
5,2009,13,35,7,624,1
6,2009,18,44,19,596,1
7,2009,21,44,34,610,1
8,2009,13,30,-11,648,0
9,2009,20,48,14,618,1
10,2009,16,47,1,621,1
11,2009,17,40,9,616,1
12,2009,17,42,1,634,1
13,2009,18,39,6,620,1
14,2009,8,20,-50,666,0
15,2009,13,34,3,672,1
17,2009,13,33,-20,650,0
19,2009,15,38,-23,621,0
20,2009,10,29,-35,654,0
21,2009,15,42,-5,616,0
22,2009,17,39,-13,645,0
23,2009,17,42,18,625,1
24,2009,17,38,-15,670,0
25,2009,15,37,5,637,1
26,2009,14,36,-2,642,0
27,2009,13,30,-22,639,0
28,2009,19,45,38,615,1
29,2009,13,35,-17,633,0
30,2009,13,37,10,636,0
31,2009,15,35,-7,636,0
32,2009,20,52,20,615,1
1,2010,15,40,-22,587,1
2,2010,20,46,22,562,1
3,2010,17,46,4,600,0
4,2010,14,46,9,649,1
5,2010,16,40,6,611,1
6,2010,16,38,38,585,1
7,2010,21,50,27,592,1
8,2010,13,43,10,610,1
9,2010,16,42,40,600,1
10,2010,10,30,-10,624,0
11,2010,17,42,20,589,0
12,2010,16,36,5,582,1
13,2010,14,32,-7,619,0
14,2010,10,25,-16,631,0
15,2010,12,26,-22,642,0
17,2010,19,49,12,585,1
19,2010,11,28,-16,632,0
20,2010,13,30,-15,625,0
21,2010,5,18,-39,605,0
22,2010,12,33,-29,616,0
23,2010,17,46,13,602,1
24,2010,19,43,-7,578,1
25,2010,17,43,-5,626,0
26,2010,19,42,4,598,1
27,2010,16,36,-3,613,1
28,2010,20,50,37,575,1
29,2010,10,31,-13,622,0
30,2010,14,35,-10,624,0
31,2010,11,27,-14,606,0
32,2010,14,40,1,631,1
1,2011,9,31,-39,680,0
2,2011,18,44,14,696,1
3,2011,12,32,-6,669,0
4,2011,22,50,38,665,1
5,2011,19,42,7,687,1
6,2011,25,57,29,656,1
7,2011,21,51,16,661,1
8,2011,20,47,-6,694,1
9,2011,15,33,-24,664,0
10,2011,18,44,9,662,1
11,2011,10,39,-12,695,0
12,2011,22,53,8,661,1
13,2011,15,39,-13,697,0
14,2011,10,32,-20,700,0
15,2011,17,38,-27,686,0
17,2011,16,43,13,700,1
19,2011,17,40,-12,686,0
20,2011,18,46,-24,667,1
21,2011,12,27,-44,680,0
22,2011,10,29,-31,699,0
23,2011,17,51,6,681,1
24,2011,16,44,14,692,1
25,2011,17,49,6,709,1
26,2011,18,50,-7,673,1
27,2011,14,35,-49,692,0
28,2011,20,48,8,701,1
29,2011,18,41,-18,700,0
30,2011,15,37,-33,673,0
31,2011,18,41,-18,670,0
32,2011,22,54,4,698,1
1,2012,14,41,1,583,0
2,2012,15,39,-10,576,1
3,2012,16,38,7,591,1
4,2012,20,50,44,624,1
5,2012,13,32,3,663,0
6,2012,19,50,18,582,1
7,2012,14,34,2,592,1
8,2012,16,41,-6,567,1
9,2012,20,50,18,589,1
10,2012,12,29,-22,621,0
11,2012,12,34,-21,598,0
12,2012,22,51,9,627,1
13,2012,13,34,-14,623,0
14,2012,11,37,-21,659,0
15,2012,9,25,-38,592,0
16,2012,10,32,-21,616,0
17,2012,15,42,11,582,1
19,2012,14,36,-18,642,0
20,2012,11,30,-17,622,0
21,2012,12,28,-32,588,0
22,2012,14,39,-15,585,1
23,2012,18,45,14,652,1
24,2012,20,45,5,606,1
25,2012,22,50,18,640,1
26,2012,13,37,20,638,0
27,2012,16,46,14,634,1
28,2012,14,37,24,595,1
29,2012,17,41,21,572,0
31,2012,10,31,-18,616,0
32,2012,12,36,16,620,1
1,2014,24,54,15,652,1
2,2014,16,43,11,709,1
3,2014,19,49,-1,647,1
4,2014,21,49,33,601,1
5,2014,17,48,5,652,1
6,2014,12,34,-37,665,0
7,2014,13,34,-7,655,0
8,2014,12,36,2,635,0
9,2014,14,30,-2,631,0
10,2014,23,51,12,642,1
11,2014,14,33,-23,635,0
12,2014,15,38,4,682,1
13,2014,17,40,-13,628,0
14,2014,15,43,-13,624,0
15,2014,16,45,0,645,1
16,2014,16,41,-21,667,0
17,2014,18,46,20,658,1
19,2014,12,32,-5,661,0
20,2014,16,44,-7,622,1
21,2014,10,30,-24,670,0
22,2014,10,27,-32,634,0
23,2014,19,49,21,635,1
24,2014,18,40,-23,627,0
25,2014,23,51,-7,637,1
26,2014,5,17,-44,648,0
27,2014,15,42,-26,667,0
28,2014,17,45,13,652,1
29,2014,15,37,0,639,1
31,2014,12,37,13,671,1
32,2014,20,43,-9,635,1
1,2015,12,38,5,695,0
2,2015,20,48,18,655,1
3,2015,19,50,33,648,1
4,2015,15,35,-5,676,0
5,2015,18,50,-8,615,1
6,2015,21,50,11,639,1
7,2015,20,49,35,660,1
8,2015,10,26,-53,698,0
9,2015,13,29,-31,627,0
10,2015,22,51,-13,665,1
11,2015,20,45,15,657,1
12,2015,10,26,-17,642,0
13,2015,10,26,-25,668,0
14,2015,18,45,1,651,1
15,2015,18,48,-17,644,0
16,2015,16,44,8,706,1
17,2015,15,33,-7,684,0
19,2015,6,18,-30,629,0
20,2015,17,39,19,615,1
21,2015,6,24,-46,676,0
22,2015,13,39,-11,659,0
23,2015,18,44,5,654,1
24,2015,17,40,0,689,1
25,2015,26,57,39,640,1
26,2015,5,19,-36,653,0
27,2015,16,44,9,619,1
28,2015,18,43,9,651,0
29,2015,20,50,-1,674,0
31,2015,22,49,-10,653,1
32,2015,18,45,-7,658,1
1,2016,20,44,-10,727,0
2,2016,20,46,5,736,1
3,2016,23,52,21,752,1
4,2016,23,52,-10,723,0
5,2016,13,33,-35,742,0
6,2016,13,37,-17,739,0
7,2016,25,56,32,729,1
8,2016,12,29,4,777,0
9,2016,18,38,-11,746,0
10,2016,21,45,30,705,1
11,2016,13,29,-25,693,0
12,2016,17,38,2,715,1
13,2016,15,38,-13,728,0
14,2016,18,41,-15,710,1
15,2016,15,32,-22,711,0
16,2016,14,35,-22,743,0
17,2016,20,46,19,732,1
19,2016,12,30,-22,729,0
20,2016,21,43,18,697,1
21,2016,11,28,-29,710,0
22,2016,20,46,3,686,1
23,2016,21,47,9,732,1
24,2016,16,43,5,740,1
25,2016,16,41,-9,770,1
26,2016,18,39,-15,688,0
27,2016,15,35,-8,737,0
28,2016,25,58,7,678,1
29,2016,22,49,7,732,1
31,2016,15,40,-5,732,1
32,2016,19,41,-11,732,1
1,2017,9,19,-51,670,0
2,2017,24,52,24,647,1
3,2017,21,45,13,676,1
4,2017,20,46,8,643,1
5,2017,20,49,9,701,1
6,2017,10,25,-54,679,0
7,2017,22,48,42,669,1
8,2017,9,29,-27,664,0
9,2017,11,28,-31,711,0
10,2017,17,42,7,659,1
11,2017,19,44,4,620,1
12,2017,13,32,-8,687,0
13,2017,11,31,-2,687,0
14,2017,17,41,2,643,0
15,2017,21,49,32,668,1
16,2017,17,42,-14,694,0
17,2017,16,36,-8,648,0
19,2017,18,42,14,675,1
20,2017,18,42,1,694,0
21,2017,20,47,27,672,1
22,2017,14,36,-23,695,0
23,2017,17,42,21,665,1
24,2017,15,36,13,697,1
25,2017,25,56,4,685,1
26,2017,12,29,-40,664,0
27,2017,18,44,12,702,1
28,2017,18,43,17,649,1
29,2017,12,28,-1,674,0
31,2017,21,48,17,718,1
32,2017,10,38,-8,716,0
1,2018,14,36,14,690,1
2,2018,15,34,0,694,0
3,2018,19,46,4,673,0
4,2018,20,48,31,665,1
5,2018,10,24,-10,703,0
6,2018,15,31,-20,684,0
7,2018,20,46,16,672,1
8,2018,13,32,-34,704,0
9,2018,19,44,-6,708,1
10,2018,15,39,33,675,1
11,2018,19,42,-5,686,0
12,2018,18,44,-11,661,1
13,2018,16,37,-28,670,0
14,2018,14,36,-23,676,0
15,2018,18,39,6,681,1
16,2018,19,46,32,692,1
17,2018,21,48,1,682,1
18,2018,19,47,20,692,1
19,2018,20,43,26,662,1
20,2018,24,51,32,671,1
21,2018,16,35,-14,696,0
22,2018,17,38,17,687,0
23,2018,17,36,19,668,1
24,2018,24,53,20,672,1
25,2018,12,28,-27,705,0
26,2018,13,35,-45,707,0
27,2018,10,26,-42,710,0
28,2018,17,45,24,686,1
29,2018,15,34,16,697,0
31,2018,17,37,9,680,1
32,2018,12,32,-26,696,0
