id,game_id,year,team_id,goals,result_id
0,1,2008,10,1,2
1302,1,2008,17,4,1
868,2,2008,17,1,2
434,2,2008,10,4,1
1736,3,2008,5,3,1
19530,3,2008,13,2,3
7378,4,2008,1,4,1
2604,4,2008,29,3,2
16058,5,2008,31,3,4
1,5,2008,10,2,2
3472,6,2008,27,4,1
9114,6,2008,19,3,3
22134,7,2008,11,2,2
4340,7,2008,12,3,1
5208,8,2008,28,2,2
20398,8,2008,21,3,4
6076,9,2008,2,0,2
24738,9,2008,30,1,1
6944,10,2008,1,0,2
23002,10,2008,24,4,1
7812,11,2008,22,2,2
18662,11,2008,25,5,1
8680,12,2008,19,2,2
3906,12,2008,27,3,1
9548,13,2008,3,2,2
21266,13,2008,8,3,1
23870,14,2008,20,3,1
10416,14,2008,9,1,2
11284,15,2008,7,3,1
12152,16,2008,14,6,1
17794,16,2008,26,4,2
13020,17,2008,23,1,2
19531,17,2008,13,4,1
16926,18,2008,15,4,1
2,18,2008,10,0,2
3038,19,2008,29,4,1
13888,19,2008,4,1,2
15190,20,2008,6,1,2
5209,20,2008,28,3,1
14756,21,2008,6,4,1
22135,21,2008,11,3,3
15624,22,2008,31,3,2
6510,22,2008,2,4,4
20399,23,2008,21,5,1
4341,23,2008,12,3,2
8246,24,2008,22,1,2
10417,24,2008,9,4,1
9549,25,2008,3,5,1
1303,25,2008,17,3,2
16492,26,2008,15,2,2
24739,26,2008,30,3,1
2605,27,2008,29,1,2
23003,27,2008,24,5,1
17360,28,2008,26,2,2
12586,28,2008,14,3,1
3907,29,2008,27,2,1
18228,29,2008,25,0,2
13889,30,2008,4,3,1
21267,30,2008,8,1,2
13454,31,2008,23,5,1
3,31,2008,10,4,2
23871,32,2008,20,5,1
1737,33,2008,5,3,3
9115,33,2008,19,4,1
11718,34,2008,7,2,1
19096,34,2008,13,0,2
5210,35,2008,28,2,2
7379,35,2008,1,6,1
16059,36,2008,31,4,1
19964,36,2008,21,2,2
12587,37,2008,14,1,2
11285,37,2008,7,2,1
3908,38,2008,27,4,1
10418,38,2008,9,2,2
19097,39,2008,13,7,1
9116,39,2008,19,1,2
13890,40,2008,4,1,2
435,40,2008,10,2,1
3473,41,2008,27,3,1
20832,42,2008,8,0,2
16927,42,2008,15,3,1
6511,43,2008,2,1,2
5211,43,2008,28,2,1
3039,44,2008,29,5,1
869,44,2008,17,1,2
21700,45,2008,11,2,2
16060,45,2008,31,4,1
24740,46,2008,30,2,1
19965,46,2008,21,0,2
12588,47,2008,14,2,1
18229,47,2008,25,1,2
13455,48,2008,23,2,2
1738,48,2008,5,3,1
22568,49,2008,24,1,2
9982,49,2008,3,4,1
23872,50,2008,20,2,1
7813,50,2008,22,1,2
15191,51,2008,6,2,2
4342,51,2008,12,8,1
17795,52,2008,26,6,1
8247,53,2008,22,3,1
10419,53,2008,9,0,2
23004,54,2008,24,3,2
20833,54,2008,8,6,1
19098,55,2008,13,5,1
3909,55,2008,27,3,2
9117,56,2008,19,8,1
12153,56,2008,14,1,2
21701,57,2008,11,3,1
3040,57,2008,29,2,3
16061,58,2008,31,2,2
6077,58,2008,2,3,1
20400,59,2008,21,2,2
14757,59,2008,6,5,1
13891,60,2008,4,8,1
1304,60,2008,17,6,2
18663,61,2008,25,3,1
11286,61,2008,7,1,2
6945,62,2008,1,1,2
9983,62,2008,3,4,1
10420,63,2008,9,6,1
11287,64,2008,7,3,2
17796,64,2008,26,7,1
6512,65,2008,2,2,1
2606,65,2008,29,1,3
16493,66,2008,15,1,2
7380,66,2008,1,5,1
23436,67,2008,20,4,2
8248,67,2008,22,6,1
2170,68,2008,5,1,2
19099,68,2008,13,3,1
21702,69,2008,11,7,1
23005,69,2008,24,4,2
18664,70,2008,25,1,2
3474,70,2008,27,3,1
12154,71,2008,14,1,2
4774,71,2008,12,3,1
21268,72,2008,8,2,2
24304,72,2008,30,3,1
5642,73,2008,28,1,2
13892,73,2008,4,2,1
13021,74,2008,23,6,1
9118,74,2008,19,4,2
19966,75,2008,21,1,2
15192,75,2008,6,4,1
436,76,2008,10,0,2
24305,76,2008,30,2,1
1305,77,2008,17,1,2
15625,77,2008,31,4,1
15626,78,2008,31,3,2
437,78,2008,10,6,1
8681,79,2008,19,4,3
17797,79,2008,26,5,1
15193,80,2008,6,2,2
5212,80,2008,28,4,1
7381,81,2008,1,5,4
21703,81,2008,11,4,2
24306,82,2008,30,3,2
1306,82,2008,17,4,4
2171,83,2008,5,1,2
7814,83,2008,22,2,4
4775,84,2008,12,4,1
438,85,2008,10,3,1
22569,85,2008,24,1,2
16928,86,2008,15,2,2
2607,86,2008,29,3,4
6513,87,2008,2,1,2
9550,87,2008,3,3,1
13456,88,2008,23,4,2
10421,88,2008,9,5,1
18230,89,2008,25,3,2
14322,90,2008,4,4,1
23437,90,2008,20,1,2
22136,91,2008,11,4,1
870,91,2008,17,3,2
3910,92,2008,27,4,1
1739,92,2008,5,3,2
4776,93,2008,12,4,1
10422,93,2008,9,0,2
19967,94,2008,21,4,1
21269,94,2008,8,2,2
15627,95,2008,31,4,1
5643,95,2008,28,2,2
7815,96,2008,22,2,2
9119,96,2008,19,3,1
11719,97,2008,7,2,2
12155,97,2008,14,5,1
17798,98,2008,26,0,2
16494,98,2008,15,3,1
6946,99,2008,1,3,2
6514,99,2008,2,5,1
13457,100,2008,23,4,4
19100,100,2008,13,3,2
15194,101,2008,6,2,2
871,101,2008,17,4,1
18231,102,2008,25,0,2
14323,102,2008,4,1,4
22137,103,2008,11,4,1
19968,103,2008,21,1,2
3041,104,2008,29,3,1
4,104,2008,10,1,2
17361,105,2008,26,2,2
2172,105,2008,5,4,1
12589,106,2008,14,4,1
10423,106,2008,9,3,3
3911,107,2008,27,4,1
7816,107,2008,22,1,2
19101,108,2008,13,2,3
4777,108,2008,12,3,1
15628,109,2008,31,5,1
21270,109,2008,8,2,2
22570,110,2008,24,0,2
5644,110,2008,28,3,1
9984,111,2008,3,1,2
24307,111,2008,30,3,1
23873,112,2008,20,6,1
6078,113,2008,2,6,1
9120,113,2008,19,4,2
13022,114,2008,23,2,1
11720,114,2008,7,1,2
14758,115,2008,6,4,1
16929,115,2008,15,1,2
24741,116,2008,30,3,1
6947,116,2008,1,2,2
19532,117,2008,13,3,1
14759,117,2008,6,1,2
5213,118,2008,28,4,1
22138,118,2008,11,1,2
13893,119,2008,4,1,2
2173,119,2008,5,6,1
6515,120,2008,2,4,2
16495,120,2008,15,7,1
20401,121,2008,21,2,2
6948,121,2008,1,4,1
1307,122,2008,17,6,1
22571,122,2008,24,0,2
13458,123,2008,23,1,1
18232,123,2008,25,0,2
5,124,2008,10,2,2
9985,124,2008,3,4,1
9121,125,2008,19,4,2
17362,126,2008,26,2,2
19533,126,2008,13,6,1
22139,127,2008,11,5,1
24308,127,2008,30,3,2
16062,128,2008,31,3,1
14760,128,2008,6,2,2
4343,129,2008,12,3,2
8249,129,2008,22,4,1
11721,130,2008,7,5,1
23438,130,2008,20,3,2
20834,131,2008,8,1,1
439,131,2008,10,0,2
6079,132,2008,2,1,2
14324,132,2008,4,3,1
9551,133,2008,3,0,2
16930,133,2008,15,3,1
20402,134,2008,21,5,4
24309,134,2008,30,4,2
1308,135,2008,17,2,1
2608,135,2008,29,1,2
23006,136,2008,24,3,1
18665,137,2008,25,2,1
10424,137,2008,9,0,2
8682,138,2008,19,5,1
13459,138,2008,23,2,2
23874,139,2008,20,5,1
4344,139,2008,12,2,2
19534,140,2008,13,4,2
1740,140,2008,5,7,1
22140,141,2008,11,2,3
6949,141,2008,1,3,1
16063,142,2008,31,5,1
5214,142,2008,28,1,2
17363,143,2008,26,4,1
8250,143,2008,22,2,2
14761,144,2008,6,3,1
11722,144,2008,7,2,2
14325,145,2008,4,1,2
4345,145,2008,12,2,1
5215,146,2008,28,1,2
16931,146,2008,15,2,1
6516,147,2008,2,2,2
1309,148,2008,17,4,1
19969,148,2008,21,1,2
10850,149,2008,9,1,2
3475,149,2008,27,4,1
23007,150,2008,24,4,1
7817,150,2008,22,3,2
12590,151,2008,14,3,2
19102,151,2008,13,8,1
8683,152,2008,19,4,1
18666,152,2008,25,1,2
2609,153,2008,29,5,1
21271,153,2008,8,3,2
13460,154,2008,23,3,2
1741,154,2008,5,4,4
9986,155,2008,3,4,1
11288,155,2008,7,3,2
23875,156,2008,20,3,3
17364,156,2008,26,4,1
19970,157,2008,21,3,4
440,157,2008,10,2,2
24310,158,2008,30,1,2
7382,158,2008,1,3,1
15195,159,2008,6,2,2
15629,159,2008,31,3,1
3042,160,2008,29,2,2
5216,160,2008,28,4,1
18667,161,2008,25,3,1
23439,161,2008,20,1,2
9122,162,2008,19,1,2
11289,162,2008,7,7,1
