id,year,away_id,home_id
1,2008,10,17
2,2008,17,10
3,2008,5,13
4,2008,29,1
5,2008,10,31
6,2008,27,19
7,2008,12,11
8,2008,28,21
9,2008,2,30
10,2008,1,24
11,2008,22,25
12,2008,19,27
13,2008,3,8
14,2008,9,20
16,2008,14,26
17,2008,23,13
18,2008,10,15
19,2008,4,29
20,2008,28,6
21,2008,6,11
22,2008,31,2
23,2008,12,21
24,2008,9,22
25,2008,3,17
26,2008,15,30
27,2008,29,24
28,2008,26,14
29,2008,25,27
30,2008,4,8
31,2008,10,23
33,2008,5,19
34,2008,13,7
35,2008,28,1
36,2008,21,31
37,2008,7,14
38,2008,9,27
39,2008,13,19
40,2008,4,10
42,2008,8,15
43,2008,28,2
44,2008,17,29
45,2008,11,31
46,2008,21,30
47,2008,25,14
48,2008,5,23
49,2008,24,3
50,2008,22,20
51,2008,12,6
53,2008,9,22
54,2008,8,24
55,2008,13,27
56,2008,14,19
57,2008,11,29
58,2008,2,31
59,2008,6,21
60,2008,4,17
61,2008,7,25
62,2008,1,3
64,2008,7,26
65,2008,29,2
66,2008,15,1
67,2008,20,22
68,2008,13,5
69,2008,11,24
70,2008,27,25
71,2008,14,12
72,2008,30,8
73,2008,4,28
74,2008,23,19
75,2008,21,6
76,2008,30,10
77,2008,31,17
78,2008,31,10
79,2008,19,26
80,2008,28,6
81,2008,11,1
82,2008,30,17
83,2008,22,5
85,2008,24,10
86,2008,29,15
87,2008,3,2
88,2008,9,23
90,2008,20,4
91,2008,17,11
92,2008,5,27
93,2008,9,12
94,2008,21,8
95,2008,31,28
96,2008,22,19
97,2008,14,7
98,2008,15,26
99,2008,1,2
100,2008,13,23
101,2008,17,6
102,2008,25,4
103,2008,21,11
104,2008,10,29
105,2008,26,5
106,2008,9,14
107,2008,22,27
108,2008,13,12
109,2008,31,8
110,2008,24,28
111,2008,30,3
113,2008,2,19
114,2008,23,7
115,2008,6,15
116,2008,1,30
117,2008,6,13
118,2008,28,11
119,2008,4,5
120,2008,15,2
121,2008,1,21
122,2008,24,17
123,2008,25,23
124,2008,10,3
126,2008,26,13
127,2008,30,11
128,2008,6,31
129,2008,12,22
130,2008,20,7
131,2008,8,10
132,2008,2,4
133,2008,3,15
134,2008,30,21
135,2008,29,17
137,2008,9,25
138,2008,19,23
139,2008,12,20
140,2008,5,13
141,2008,1,11
142,2008,28,31
