id,wins,diff,strength,points,year,playoffs
1,18,6,736,47,2011,0
2,19,10,782,44,2011,1
3,17,-6,754,42,2011,0
4,21,24,727,46,2011,1
5,21,5,735,47,2011,1
6,26,42,737,57,2011,1
7,21,13,744,49,2011,1
8,17,-4,775,44,2011,1
9,8,-58,772,21,2011,0
10,18,-11,755,42,2011,1
11,14,-10,773,37,2011,0
12,25,30,714,54,2011,1
13,17,-2,733,42,2011,0
14,12,-37,734,29,2011,0
15,17,-21,771,42,2011,0
16,19,19,761,47,2011,1
17,14,-15,741,36,2011,0
18,22,-7,708,51,2011,1
19,12,-38,788,27,2011,0
20,17,4,734,39,2011,0
21,23,40,716,54,2011,1
22,18,9,777,48,2011,1
23,21,17,768,48,2011,1
24,14,-6,750,41,2011,1
25,16,-32,739,36,2011,0
26,19,3,764,46,2011,1
27,20,5,756,49,2011,0
28,18,5,737,42,2011,0
29,21,-7,759,43,2011,0
30,25,26,760,56,2011,1
